/* DATA DESCRIPTION:
Citation:	Gimsa, Justus; Tanski, George; Irrgang, Anna Maria; Fritz, Michael; Lantuit, Hugues; Radosavljevic, Boris (2021): Current velocity measurements from upward-looking ADCP at Qikiqtaruk during the Yukon Coast 2015 expedition of the AWI. Alfred Wegener Institute - Research Unit Potsdam, PANGAEA, https://doi.org/10.1594/PANGAEA.931914
Abstract:	The dataset compiles water current velocities and direction measured by a platform-based upward looking Acoustic Doppler Current Profiler. Data was acquired in July/August 2015 during the Yukon Coast 2015 expedition to the Herschel Island – Qikiqtaruk coastal observatory, conducted by the Alfred Wegener Institute in Potsdam, Germany. Goal of this project was to find drivers that control nearshore currents and to map their spatio-temporal variation. These currents might play an important role in the transport process of sediments and organic matter in the nearshore zone of the Arctic Ocean. The sediments mainly originate from the rapidly eroding permafrost coasts. The columns of this data file include Date/Time, height above the seafloor of the respective measurement cell (bin), current velocity in east-west direction and current velocity in north-south direction.
Keyword(s):	Acoustic Current Doppler Profiler; ADCP; ADCP data; Arctic Ocean; Arctic Shelf; Beaufort Sea; Coastal erosion; currents; current velocity; Herschel Island; hydrodynamics; Nearshore zone; permafrost; Qikiqtaruk; Yukon Coast
Project(s):	Permafrost Research (AWI_Perma) (URI: https://www.awi.de/en/science/geosciences/permafrost-research.html)
Coverage:	LATITUDE: 69.558393 * LONGITUDE: -138.914445
	DATE/TIME START: 2015-07-28T00:15:00 * DATE/TIME END: 2015-08-13T15:45:00
	MINIMUM ELEVATION: -11.0 m * MAXIMUM ELEVATION: -11.0 m
Event(s):	YC_2015_ADCP * LATITUDE: 69.558393 * LONGITUDE: -138.914445 * DATE/TIME START: 2015-07-28T00:00:00 * DATE/TIME END: 2015-08-13T00:00:00 * ELEVATION: -11.0 m * LOCATION: Beaufort Sea * CAMPAIGN: CA-Land_2015_YukonCoast (Yukon_Coast_2015) * BASIS: AWI Arctic Land Expedition * METHOD/DEVICE: Acoustic Doppler Current Profiling (ADCP) * COMMENT: Nearshore current measurement with an ADCP
Comment:	Data description:
	Setting: 4 Beam in 20 degree Janus configuration
	Deployment location: Latitude 69.558393 N / Longitude 138.914445 W
	Depth: ca. 11 meter - (varying with sea level)
	Number of cells (bins): 29
	Bin size: 0.50 meter 
	First bin: 1.60 meter 
	Measurements per hour: 4
	Pings per Ensemble: 50 
	Time/Ping: 18.00 s
	Data is given in "oceanographic convention" (i.e. the direction the current is directed to)
	Pre- and post-processing steps:
	Step 1 - Calibration of the instrument by following the calibration setup in the software (RD Instrument WinSC)
	Step 2 – Definition of planned deployment schedule and parameterization of the device (RD Instrument WinSc + RD Instrument PlanADCP)
	Step 3 - Deployment of the ADCP with a ZODIAC at the study site using a bottom mooring mounted on a stainless steel plate
	Step 4 - Retrieval of the instrument after 16 days
	Step 5 - Download of the collected data
	Step 6 - Opening of the data files with RDI Velocity
	Step 7 – Adjustment of the raw data for the following parameters using RDI Velocity software and the corresponding "Velocity Users Guide":
	a) Magnetic declination (accessed from https://www.ngdc.noaa.gov/geomag/calculators/magcalc.shtml#declination; Magnetic declination = 22.27 degree
	b) Salinity (average value derived from 6 point measurements through the water column with data ~0.3 meter) analysed from water column profiles retrieved with a handheld CastAway CTD near the ADCP mooring; Salinity = 24.91 ppt (parts per thousand)
	c) Speed of sound velocities were recalculated using temperature, salinity and depth
	d) Surface boundary: Contaminated upper bins were removed (blank) using the "Range to boundary - Intensity" function of Velocity, to remove measurements that were affected by turbulent air bubbles from wave action.
	Step 8 - Exporting the processed files to Matlab using the Velocity Export function; Data right after lowering the mooring system and after retrieving was removed; 
	Step 9 – Writing of txt-file in Matlab (tab delimiter, ISO 8601 date format, UTF-8, missing or removed data is left empty)
Parameter(s):	DATE/TIME (Date/Time) * GEOCODE * PI: Gimsa, Justus (j.gimsa@googlemail.com) * COMMENT: Local time in Inuvik, Northwest Territories, Canada (UTC -6h)
	Height above sea floor/altitude [m] (Height) * PI: Gimsa, Justus (j.gimsa@googlemail.com) * COMMENT: Height above the sea floor in [m] of the respective lower bin boundary (First bin at 1.60m, bin size = 0.50m)
	Current velocity, east-west [cm/s] (Cur vel U) * PI: Gimsa, Justus (j.gimsa@googlemail.com) * METHOD/DEVICE: Acoustic Doppler Current Profiling (ADCP), RDI Workhorse Sentinel, 600 kHz
	Current velocity, north-south [cm/s] (Cur vel V) * PI: Gimsa, Justus (j.gimsa@googlemail.com) * METHOD/DEVICE: Acoustic Doppler Current Profiling (ADCP), RDI Workhorse Sentinel, 600 kHz
License:	Creative Commons Attribution 4.0 International (CC-BY-4.0)
Status:	Curation Level: Enhanced curation (URI: https://wiki.pangaea.de/wiki/Curation_levels)
Size:	104413 data points
*/
Date/Time	Height [m]	Cur vel U [cm/s]	Cur vel V [cm/s]
2015-07-28T00:15:00	1.6	-7.811	12.686
2015-07-28T00:15:00	2.1	-8.395	15.164
2015-07-28T00:15:00	2.6	-2.466	9.858
2015-07-28T00:15:00	3.1	1.935	12.533
2015-07-28T00:15:00	3.6	1.125	12.119
2015-07-28T00:15:00	4.1	-7.179	13.707
2015-07-28T00:15:00	4.6	-7.226	10.208
2015-07-28T00:15:00	5.1	2.131	5.204
2015-07-28T00:15:00	5.6	4.922	-0.736
2015-07-28T00:15:00	6.1	10.241	-6.752
2015-07-28T00:15:00	6.6	7.678	-10.927
2015-07-28T00:15:00	7.1	13.398	-10.497
2015-07-28T00:15:00	7.6	19.035	-8.968
2015-07-28T00:15:00	8.1	24.205	-10.659
2015-07-28T00:15:00	8.6	25.546	-10.248
2015-07-28T00:15:00	9.1	22.108	-13.958
2015-07-28T00:15:00	9.6	14.952	-15.291
2015-07-28T00:15:00	10.1	10.829	-11.044
2015-07-28T00:15:00	10.6		
2015-07-28T00:15:00	11.1		
2015-07-28T00:15:00	11.6		
2015-07-28T00:15:00	12.1		
2015-07-28T00:15:00	12.6		
2015-07-28T00:15:00	13.1		
2015-07-28T00:15:00	13.6		
2015-07-28T00:15:00	14.1		
2015-07-28T00:15:00	14.6		
2015-07-28T00:15:00	15.1		
2015-07-28T00:15:00	15.6		
2015-07-28T00:30:00	1.6	-6.481	15.289
2015-07-28T00:30:00	2.1	-3.311	17.230
2015-07-28T00:30:00	2.6	-5.481	15.095
2015-07-28T00:30:00	3.1	1.944	15.294
2015-07-28T00:30:00	3.6	2.549	14.398
2015-07-28T00:30:00	4.1	5.038	14.675
2015-07-28T00:30:00	4.6	-0.017	11.562
2015-07-28T00:30:00	5.1	2.341	9.408
2015-07-28T00:30:00	5.6	4.994	-2.045
2015-07-28T00:30:00	6.1	5.122	-9.117
2015-07-28T00:30:00	6.6	7.501	-10.955
2015-07-28T00:30:00	7.1	11.318	-11.654
2015-07-28T00:30:00	7.6	21.186	-9.972
2015-07-28T00:30:00	8.1	25.176	-7.610
2015-07-28T00:30:00	8.6	22.419	-6.697
2015-07-28T00:30:00	9.1	20.400	-8.462
2015-07-28T00:30:00	9.6	13.970	-14.144
2015-07-28T00:30:00	10.1	10.812	-14.471
2015-07-28T00:30:00	10.6		
2015-07-28T00:30:00	11.1		
2015-07-28T00:30:00	11.6		
2015-07-28T00:30:00	12.1		
2015-07-28T00:30:00	12.6		
2015-07-28T00:30:00	13.1		
2015-07-28T00:30:00	13.6		
2015-07-28T00:30:00	14.1		
2015-07-28T00:30:00	14.6		
2015-07-28T00:30:00	15.1		
2015-07-28T00:30:00	15.6		
2015-07-28T00:45:00	1.6	-7.963	11.688
2015-07-28T00:45:00	2.1	-6.300	15.221
2015-07-28T00:45:00	2.6	1.696	14.432
2015-07-28T00:45:00	3.1	0.195	14.722
2015-07-28T00:45:00	3.6	3.278	14.864
2015-07-28T00:45:00	4.1	5.498	11.578
2015-07-28T00:45:00	4.6	0.770	12.434
2015-07-28T00:45:00	5.1	1.450	6.969
2015-07-28T00:45:00	5.6	6.638	1.171
2015-07-28T00:45:00	6.1	7.569	-7.637
2015-07-28T00:45:00	6.6	7.315	-11.423
2015-07-28T00:45:00	7.1	10.410	-14.419
2015-07-28T00:45:00	7.6	20.527	-12.404
2015-07-28T00:45:00	8.1	27.422	-11.662
2015-07-28T00:45:00	8.6	25.379	-7.152
2015-07-28T00:45:00	9.1	18.505	-7.578
2015-07-28T00:45:00	9.6	12.787	-12.043
2015-07-28T00:45:00	10.1	10.663	-13.010
2015-07-28T00:45:00	10.6		
2015-07-28T00:45:00	11.1		
2015-07-28T00:45:00	11.6		
2015-07-28T00:45:00	12.1		
2015-07-28T00:45:00	12.6		
2015-07-28T00:45:00	13.1		
2015-07-28T00:45:00	13.6		
2015-07-28T00:45:00	14.1		
2015-07-28T00:45:00	14.6		
2015-07-28T00:45:00	15.1		
2015-07-28T00:45:00	15.6		
2015-07-28T01:00:00	1.6	-7.227	13.225
2015-07-28T01:00:00	2.1	-3.390	14.680
2015-07-28T01:00:00	2.6	-0.663	16.589
2015-07-28T01:00:00	3.1	-0.436	14.767
2015-07-28T01:00:00	3.6	4.592	16.490
2015-07-28T01:00:00	4.1	8.862	16.362
2015-07-28T01:00:00	4.6	4.977	11.361
2015-07-28T01:00:00	5.1	6.497	4.255
2015-07-28T01:00:00	5.6	7.804	0.586
2015-07-28T01:00:00	6.1	6.299	-8.631
2015-07-28T01:00:00	6.6	8.100	-8.720
2015-07-28T01:00:00	7.1	9.340	-11.497
2015-07-28T01:00:00	7.6	22.054	-10.004
2015-07-28T01:00:00	8.1	29.374	-9.544
2015-07-28T01:00:00	8.6	25.362	-7.468
